M,0.545000,0.410000,0.120000,0.793000,0.434000,0.140500,0.190000,9.000000
F,0.620000,0.500000,0.175000,1.186000,0.498500,0.301500,0.350000,12.000000
M,0.670000,0.510000,0.200000,1.594500,0.670500,0.384500,0.450500,10.000000
I,0.440000,0.330000,0.110000,0.370500,0.154500,0.084000,0.120000,7.000000
F,0.620000,0.480000,0.230000,1.093500,0.403000,0.245000,0.355000,14.000000
M,0.395000,0.305000,0.105000,0.282000,0.097500,0.065000,0.096000,9.000000
I,0.425000,0.320000,0.100000,0.305500,0.126000,0.060000,0.106000,7.000000
F,0.580000,0.435000,0.150000,0.834000,0.428000,0.151500,0.230000,8.000000
M,0.580000,0.430000,0.130000,0.798000,0.365000,0.173000,0.228500,10.000000
M,0.625000,0.475000,0.160000,1.084500,0.500500,0.235500,0.310500,10.000000
F,0.590000,0.455000,0.150000,0.976000,0.465000,0.205500,0.276500,10.000000
M,0.460000,0.375000,0.140000,0.510500,0.192000,0.104500,0.205000,9.000000
F,0.370000,0.275000,0.100000,0.222500,0.093000,0.026000,0.080000,8.000000
M,0.660000,0.510000,0.165000,1.637500,0.768500,0.354500,0.392500,14.000000
I,0.435000,0.340000,0.110000,0.379500,0.149500,0.085000,0.120000,8.000000
M,0.590000,0.470000,0.150000,0.995500,0.481000,0.232000,0.240000,8.000000
M,0.730000,0.575000,0.210000,2.069000,0.928500,0.409000,0.643000,11.000000
F,0.520000,0.405000,0.115000,0.776000,0.320000,0.184500,0.220000,8.000000
M,0.500000,0.400000,0.130000,0.664500,0.258000,0.133000,0.240000,12.000000
F,0.535000,0.425000,0.155000,0.776500,0.302000,0.156500,0.250000,16.000000
F,0.565000,0.450000,0.165000,0.976500,0.322000,0.244000,0.370000,12.000000
M,0.590000,0.460000,0.145000,0.929000,0.380000,0.240000,0.255000,10.000000
I,0.515000,0.405000,0.130000,0.573000,0.213000,0.134000,0.195000,9.000000
I,0.485000,0.375000,0.130000,0.602500,0.293500,0.128500,0.160000,7.000000
F,0.475000,0.375000,0.150000,0.559000,0.195500,0.121500,0.194500,12.000000
I,0.540000,0.420000,0.140000,0.666500,0.312500,0.138000,0.189500,10.000000
I,0.380000,0.280000,0.085000,0.273500,0.115000,0.061000,0.085000,6.000000
I,0.325000,0.240000,0.075000,0.187000,0.082500,0.044500,0.050000,6.000000
F,0.555000,0.420000,0.140000,0.868000,0.330000,0.243000,0.210000,13.000000
I,0.485000,0.370000,0.140000,0.506500,0.242500,0.088000,0.146500,8.000000
F,0.685000,0.530000,0.170000,1.510500,0.738500,0.352500,0.372500,10.000000
I,0.440000,0.355000,0.165000,0.435000,0.159000,0.105000,0.140000,16.000000
F,0.655000,0.525000,0.175000,1.348000,0.585500,0.260500,0.394000,10.000000
I,0.380000,0.285000,0.085000,0.237000,0.115000,0.040500,0.070000,6.000000
M,0.500000,0.375000,0.130000,0.721000,0.305500,0.172500,0.220000,14.000000
I,0.295000,0.215000,0.075000,0.116000,0.037000,0.029500,0.040000,8.000000
M,0.620000,0.460000,0.160000,0.950500,0.491500,0.200000,0.228000,9.000000
F,0.645000,0.480000,0.170000,1.134500,0.528000,0.254000,0.305000,10.000000
M,0.545000,0.440000,0.120000,0.856500,0.347500,0.171500,0.240000,12.000000
M,0.605000,0.475000,0.175000,1.252500,0.557500,0.305500,0.343000,9.000000
I,0.360000,0.250000,0.115000,0.465000,0.210000,0.105500,0.128000,7.000000
I,0.335000,0.255000,0.085000,0.178500,0.071000,0.040500,0.055000,9.000000
F,0.520000,0.415000,0.145000,0.804500,0.332500,0.172500,0.285000,10.000000
I,0.475000,0.365000,0.120000,0.518500,0.268000,0.109500,0.136500,8.000000
F,0.410000,0.320000,0.115000,0.387000,0.165000,0.100500,0.098500,11.000000
I,0.455000,0.365000,0.135000,0.441000,0.151500,0.116500,0.145000,9.000000
I,0.535000,0.420000,0.145000,0.688500,0.273000,0.151500,0.237000,9.000000
M,0.550000,0.450000,0.155000,0.789500,0.343000,0.159000,0.250000,12.000000
F,0.615000,0.520000,0.150000,1.343500,0.629000,0.260500,0.345000,10.000000
F,0.570000,0.425000,0.130000,0.782000,0.369500,0.174500,0.196500,8.000000
F,0.520000,0.400000,0.125000,0.686500,0.295000,0.171500,0.185000,9.000000
I,0.580000,0.490000,0.195000,1.316500,0.530500,0.254000,0.410000,18.000000
F,0.665000,0.515000,0.180000,1.389000,0.594500,0.324000,0.395000,10.000000
F,0.610000,0.490000,0.170000,1.137000,0.460500,0.282500,0.344000,12.000000
M,0.645000,0.515000,0.160000,1.184500,0.506000,0.311000,0.335000,9.000000
M,0.625000,0.495000,0.155000,1.177000,0.505500,0.278000,0.345000,9.000000
M,0.665000,0.535000,0.155000,1.383000,0.596000,0.256500,0.485000,14.000000
F,0.595000,0.450000,0.150000,1.114000,0.586500,0.220500,0.250000,11.000000
I,0.330000,0.245000,0.065000,0.144500,0.058000,0.032000,0.050500,6.000000
I,0.475000,0.360000,0.125000,0.490500,0.205000,0.130500,0.125000,8.000000
F,0.705000,0.550000,0.170000,1.219000,0.639500,0.236000,0.301000,9.000000
F,0.595000,0.465000,0.150000,1.076500,0.491000,0.220000,0.287000,9.000000
I,0.295000,0.220000,0.065000,0.129500,0.052000,0.028000,0.035000,6.000000
M,0.450000,0.355000,0.115000,0.479000,0.212500,0.104500,0.150000,8.000000
I,0.570000,0.440000,0.150000,0.755000,0.342500,0.160000,0.224000,8.000000
I,0.365000,0.265000,0.085000,0.213000,0.094500,0.049000,0.060000,7.000000
F,0.570000,0.450000,0.150000,0.964500,0.531000,0.189000,0.209000,9.000000
F,0.655000,0.530000,0.190000,1.428000,0.493000,0.318000,0.565000,18.000000
I,0.575000,0.455000,0.155000,0.872500,0.349000,0.209500,0.285000,8.000000
M,0.515000,0.420000,0.140000,0.769000,0.250500,0.154000,0.290000,13.000000
I,0.510000,0.400000,0.125000,0.557500,0.261500,0.119500,0.152500,9.000000
M,0.575000,0.455000,0.155000,1.013000,0.468500,0.208500,0.295000,11.000000
M,0.500000,0.390000,0.135000,0.781500,0.361000,0.157500,0.238500,9.000000
M,0.540000,0.420000,0.120000,0.811500,0.392000,0.145500,0.223500,9.000000
I,0.360000,0.285000,0.105000,0.241500,0.091500,0.057000,0.075000,7.000000
M,0.395000,0.295000,0.115000,0.316000,0.120500,0.059500,0.110500,12.000000
M,0.600000,0.480000,0.155000,1.014000,0.451000,0.188500,0.325000,11.000000
F,0.585000,0.460000,0.165000,1.058000,0.486000,0.250000,0.294000,9.000000
M,0.635000,0.490000,0.175000,1.375000,0.623000,0.270500,0.395000,11.000000
M,0.550000,0.430000,0.180000,0.826500,0.440500,0.159000,0.225000,10.000000
M,0.320000,0.240000,0.085000,0.170000,0.065500,0.047000,0.049000,7.000000
F,0.520000,0.405000,0.120000,0.627000,0.264500,0.141500,0.181000,11.000000
F,0.375000,0.290000,0.115000,0.270500,0.093000,0.066000,0.088500,10.000000
I,0.325000,0.200000,0.080000,0.099500,0.039500,0.022500,0.032000,8.000000
F,0.580000,0.440000,0.180000,0.854000,0.366500,0.163500,0.245000,12.000000
F,0.645000,0.520000,0.180000,1.285000,0.577500,0.352000,0.317000,9.000000
M,0.575000,0.455000,0.185000,1.156000,0.552500,0.243000,0.295000,13.000000
I,0.330000,0.205000,0.095000,0.159500,0.077000,0.032000,0.043500,5.000000
F,0.660000,0.520000,0.180000,1.514000,0.526000,0.297500,0.420000,19.000000
I,0.490000,0.375000,0.125000,0.544500,0.279000,0.115000,0.130000,8.000000
M,0.525000,0.410000,0.130000,0.990000,0.386500,0.243000,0.295000,15.000000
F,0.660000,0.525000,0.160000,1.277000,0.497500,0.319000,0.394000,13.000000
I,0.440000,0.365000,0.110000,0.446500,0.213000,0.089000,0.113500,9.000000
I,0.405000,0.300000,0.090000,0.269000,0.103000,0.067000,0.110000,6.000000
F,0.645000,0.515000,0.175000,1.546000,0.703500,0.365000,0.415000,10.000000
I,0.390000,0.285000,0.100000,0.281000,0.127500,0.062000,0.077000,7.000000
F,0.575000,0.460000,0.150000,0.927000,0.333000,0.207000,0.298500,9.000000
M,0.610000,0.460000,0.160000,1.000000,0.494000,0.197000,0.275000,10.000000
I,0.630000,0.490000,0.170000,1.217000,0.551500,0.212000,0.310000,11.000000
I,0.270000,0.195000,0.065000,0.106500,0.047500,0.022500,0.028500,5.000000
F,0.405000,0.325000,0.110000,0.357500,0.145000,0.072500,0.110000,12.000000
F,0.680000,0.580000,0.200000,1.787000,0.585000,0.453000,0.600000,19.000000
F,0.675000,0.525000,0.170000,1.809500,0.784000,0.391000,0.455000,12.000000
M,0.520000,0.410000,0.115000,0.770000,0.263000,0.157000,0.260000,11.000000
M,0.495000,0.380000,0.120000,0.474000,0.197000,0.106500,0.154500,10.000000
F,0.640000,0.485000,0.185000,1.419500,0.673500,0.346500,0.325500,11.000000
M,0.570000,0.480000,0.180000,0.939500,0.399000,0.200000,0.295000,14.000000
M,0.570000,0.450000,0.155000,0.910000,0.326000,0.189500,0.355000,14.000000
M,0.710000,0.565000,0.200000,1.601000,0.706000,0.321000,0.450000,11.000000
F,0.610000,0.495000,0.190000,1.213000,0.464000,0.306000,0.365000,15.000000
I,0.300000,0.220000,0.080000,0.121000,0.047500,0.042000,0.035000,5.000000
M,0.355000,0.290000,0.090000,0.327500,0.134000,0.086000,0.090000,9.000000
M,0.535000,0.420000,0.160000,0.746500,0.348000,0.151500,0.218500,10.000000
F,0.655000,0.515000,0.180000,1.412000,0.619500,0.248500,0.497000,11.000000
M,0.490000,0.385000,0.125000,0.649000,0.320000,0.124000,0.169500,8.000000
M,0.610000,0.470000,0.160000,1.022000,0.449000,0.234500,0.294500,9.000000
M,0.715000,0.520000,0.180000,1.600000,0.708000,0.352500,0.445000,12.000000
M,0.500000,0.385000,0.135000,0.551000,0.224500,0.071500,0.206000,11.000000
M,0.460000,0.350000,0.125000,0.516500,0.188500,0.114500,0.185000,9.000000
M,0.595000,0.475000,0.140000,1.030500,0.492500,0.217000,0.278000,10.000000
I,0.395000,0.295000,0.100000,0.293000,0.140000,0.062000,0.082000,7.000000
