M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
F,0.57,0.44,0.12,0.803,0.382,0.1525,0.234,9
M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11
M,0.7,0.55,0.2,1.523,0.693,0.306,0.4405,13
M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
F,0.61,0.47,0.195,1.2735,0.469,0.3315,0.398,12
F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
M,0.5,0.39,0.145,0.651,0.273,0.132,0.22,11
F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,6
I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5
M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7
M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11
M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21
M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10
M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9
M,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,11
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9
I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10
M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16
I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12
M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,9
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
M,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8
I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9
F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11
I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12
M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17
F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12
I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7
I,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8
I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7
M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
F,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12
M,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6
I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11
I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18
F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
F,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8
I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
M,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7
M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12
F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
F,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
